id,question,answer,category
FAQ-054,"How do I download my account data?","Go to privacy or account settings and request a data export if available.","account"
FAQ-055,"How do I delete my profile picture?","Open your profile settings and remove or replace the current photo.","account"
FAQ-056,"Why did I get a login alert email?","We send login alerts when a new device or unusual sign-in is detected.","account"
FAQ-057,"How do I turn off login alerts?","Some security alerts are mandatory and cannot be disabled. Optional alerts can be managed in notifications.","account"
FAQ-058,"How do I update notification preferences?","Go to notification settings and select which alerts or updates you want to receive.","account"
FAQ-059,"How do I change my timezone?","Update your timezone in profile or workspace settings.","account"
FAQ-060,"How do I change my language?","Go to settings and choose your preferred language from the language menu.","account"
FAQ-061,"Can I share my account with a teammate?","Personal accounts should not be shared. Use team seats or workspace invites instead.","account"
FAQ-062,"How do I invite a teammate?","Go to team or workspace settings and send an invite to your teammate's email.","account"
FAQ-063,"How do I remove a teammate?","Open team settings and remove the member from your workspace.","account"
FAQ-064,"Can I change user roles?","Yes. Workspace admins can change member roles from team settings.","account"
FAQ-065,"How do I become an admin?","Only an existing admin or owner can grant admin access.","account"
FAQ-066,"What is the difference between owner and admin?","Owners have full billing and workspace control while admins manage users and settings based on policy.","account"
FAQ-067,"How do I leave a workspace?","Open workspace settings and choose Leave Workspace if your role allows it.","account"
FAQ-068,"Can I use one email for multiple workspaces?","Yes. The same email can usually join multiple workspaces if invited.","account"
FAQ-069,"How do I change my profile photo?","Go to profile settings and upload a new image.","account"
FAQ-070,"How do I set a display name?","Open profile settings and update your display name.","account"
FAQ-071,"How do I close my workspace?","Workspace closure usually requires owner action or support review.","account"
FAQ-072,"How do I recover my account if I lost access to my email?","Contact support to begin an ownership verification process.","account"
FAQ-073,"Can I disable two-factor authentication?","If policy allows it you can disable two-factor authentication from security settings.","account"
FAQ-074,"My two-factor code is not working. What should I do?","Check your device time sync and use a backup code if available.","account"
FAQ-075,"How do I get backup codes?","Open two-factor authentication settings and generate recovery codes.","account"
FAQ-076,"How do I change my authenticator app?","Disable and re-enable two-factor authentication to pair a new authenticator app.","account"
FAQ-077,"Why do I keep getting signed out?","Frequent sign-outs may happen due to browser settings inactivity timeouts or security policy.","account"
FAQ-078,"How do I set up single sign-on?","Single sign-on setup is available on supported plans through admin authentication settings.","account"
FAQ-079,"Can I use a custom domain for login?","Custom domain support depends on your plan and admin settings.","account"
FAQ-080,"How do I contact security support?","Use the help center or support channel and mark the issue as a security concern.","account"
FAQ-081,"When will I be charged for my subscription?","Charges are processed on your renewal date based on your billing cycle.","billing"
FAQ-082,"Do you bill monthly or yearly?","We offer monthly and yearly billing on supported plans.","billing"
FAQ-083,"How do I switch from monthly to yearly billing?","Go to billing settings and choose the annual plan if available.","billing"
FAQ-084,"How do I switch from yearly to monthly billing?","You can change your billing cycle from billing settings subject to plan rules.","billing"
FAQ-085,"Do you offer prorated upgrades?","Many upgrades are prorated based on remaining time in the billing cycle.","billing"
FAQ-086,"Do you offer prorated downgrades?","Downgrade handling depends on your plan and billing policy.","billing"
FAQ-087,"Why was my card charged after cancellation?","A charge may still appear if cancellation happened after the renewal cutoff or while a pending renewal was processing.","billing"
FAQ-088,"How do I add a payment method?","Open billing settings and add a new payment method.","billing"
FAQ-089,"How do I remove a payment method?","Open billing settings and remove the saved payment method if another valid method exists.","billing"
FAQ-090,"Can I use PayPal?","Available payment methods depend on your region and current billing options.","billing"
FAQ-091,"Can I pay by bank transfer?","Bank transfer is available only on selected plans or enterprise contracts.","billing"
FAQ-092,"Can I pay by invoice?","Invoice billing is generally available for larger business plans.","billing"
FAQ-093,"Can I update the card holder name?","Yes. Update your payment method details in the billing section.","billing"
FAQ-094,"Can I change my billing address?","Yes. Edit your billing address in billing settings.","billing"
FAQ-095,"Why was tax added to my invoice?","Applicable taxes depend on your billing location and tax rules.","billing"
FAQ-096,"How do I add my tax ID?","Go to billing settings and add your tax information if supported.","billing"
FAQ-097,"Can I get a VAT invoice?","If tax invoices are supported in your region they will appear in the billing section.","billing"
FAQ-098,"How do I download a receipt?","Receipts and invoices can be downloaded from billing history.","billing"
FAQ-099,"Where can I see billing history?","Open billing settings and review the billing history or invoices section.","billing"
FAQ-100,"Can I get a copy of an old invoice?","Yes. Old invoices are usually available in billing history.","billing"
FAQ-101,"Why was my trial converted to a paid plan?","Trials convert automatically if they are not canceled before the end date.","billing"
FAQ-102,"How do I cancel before trial ends?","Go to billing settings and cancel your plan before the trial expiration date.","billing"
FAQ-103,"Do you offer a free plan?","Free plan availability depends on the product and current pricing model.","billing"
FAQ-104,"How many seats are included in my plan?","Included seats depend on your plan tier. Check the billing page for plan limits.","billing"
FAQ-105,"How do I add more seats?","Open billing or team settings and increase the number of seats.","billing"
FAQ-106,"How do I remove seats?","Reduce seats from billing or team settings subject to plan limits.","billing"
FAQ-107,"Why did my invoice amount change?","Invoice totals can change due to taxes seat changes prorations or plan updates.","billing"
FAQ-108,"Can I pause my subscription?","Pause availability depends on your plan and account status.","billing"
FAQ-109,"Can I restart my subscription after canceling?","Yes. In many cases you can restart from billing settings or by purchasing again.","billing"
FAQ-110,"Do you offer nonprofit discounts?","Discount availability depends on current pricing programs and verification requirements.","billing"
FAQ-111,"Do you offer startup discounts?","Promotional or startup pricing may be available during specific programs.","billing"
FAQ-112,"Can I use a promo code?","If promotions are active you can apply a code during checkout or billing update.","billing"
FAQ-113,"My promo code is not working. What should I do?","Check the code expiration plan eligibility and spelling then try again.","billing"
FAQ-114,"Can I get a refund for accidental purchase?","Refunds depend on policy and may require manual review by support.","billing"
FAQ-115,"Can I change the billing email?","Yes. Update the billing contact email in billing settings.","billing"
FAQ-116,"Can I split payment across two cards?","Split payments are generally not supported unless your contract says otherwise.","billing"
FAQ-117,"Why is my card being declined?","Your bank may decline the payment due to limits risk checks or outdated card details.","billing"
FAQ-118,"Can I retry a failed payment?","Yes. You can update your method and retry from the billing page.","billing"
FAQ-119,"What happens if I miss a payment?","Service access may be limited after a failed payment until billing is resolved.","billing"
FAQ-120,"How do I contact billing support?","Use the support channel and choose billing as the issue category.","billing"
FAQ-121,"What is your refund policy?","Refund eligibility depends on your plan purchase date and local policy requirements.","billing"
FAQ-122,"Can I pay in my local currency?","Supported billing currencies depend on your region and account configuration.","billing"
FAQ-123,"Why was I billed in a different currency?","Charges may be processed in your account currency or payment provider currency settings.","billing"
FAQ-124,"Can I prepay for multiple months?","Prepayment options are generally available only on selected business plans.","billing"
FAQ-125,"How do I update purchase order information?","Purchase order handling depends on your billing arrangement and plan type.","billing"
FAQ-126,"Can I transfer my subscription to another account?","Subscription transfers usually require support review.","billing"
FAQ-127,"My invoice shows the wrong company name. How do I fix it?","Update your billing profile and request a corrected invoice if needed.","billing"
FAQ-128,"Do you charge setup fees?","Setup fees depend on plan type and onboarding services.","billing"
FAQ-129,"What happens to my data after cancellation?","Data retention after cancellation depends on plan policy and local rules.","billing"
FAQ-130,"Can I restore a canceled paid plan?","In many cases yes if the account and data are still within the retention window.","billing"
FAQ-131,"How do I clear cache?","Open your browser settings and clear cached files then reload the site.","technical"
FAQ-132,"How do I clear app data?","Use the app settings or device settings to clear cached app data if supported.","technical"
FAQ-133,"Why is the page blank after login?","A blank page may be caused by cached assets browser extensions or a temporary service issue.","technical"
FAQ-134,"Why is the app stuck on loading?","Try refreshing signing out and back in or checking service status.","technical"
FAQ-135,"How do I report a bug?","Use the support channel and include steps to reproduce the bug.","technical"
FAQ-136,"What browser versions do you support?","We support current major versions of modern browsers.","technical"
FAQ-137,"Does the app work on Safari?","Yes. Safari is supported on recent versions unless a feature says otherwise.","technical"
FAQ-138,"Does the app work on Firefox?","Yes. Firefox is supported on recent versions.","technical"
FAQ-139,"Does the app work on Edge?","Yes. Edge is supported on recent versions.","technical"
FAQ-140,"Why am I getting a 403 error?","A 403 error may indicate permission or security restrictions on the resource.","technical"
FAQ-141,"Why am I getting a 404 error?","The requested page or resource may no longer exist or the URL may be incorrect.","technical"
FAQ-142,"Why am I getting a 500 error?","A 500 error usually indicates a temporary server issue. Please retry shortly.","technical"
FAQ-143,"Why is my dashboard empty?","Check filters date range permissions and whether data exists for that workspace.","technical"
FAQ-144,"Why are my changes not saving?","Check your internet connection session status and whether the page has validation errors.","technical"
FAQ-145,"How do I restore unsaved changes?","Recovery depends on the feature. Some pages auto-save drafts while others require manual re-entry.","technical"
FAQ-146,"Why is a button disabled?","A disabled action may require a certain role completed fields or a valid account state.","technical"
FAQ-147,"Why am I missing a feature?","The feature may depend on plan level permissions region or phased rollout.","technical"
FAQ-148,"How do I enable dark mode?","Go to appearance settings if dark mode is supported on your account.","technical"
FAQ-149,"How do I switch themes?","Open appearance settings and choose your preferred theme.","technical"
FAQ-150,"Why are my notifications delayed?","Notification delays can happen due to device settings email provider delays or queue timing.","technical"
FAQ-151,"Why am I not receiving push notifications?","Check device notification permissions app settings and power-saving restrictions.","technical"
FAQ-152,"Why am I not receiving email notifications?","Check spam folders notification settings and whether the email address is verified.","technical"
FAQ-153,"Why is file upload stuck?","Large files unsupported formats or unstable connections can interrupt uploads.","technical"
FAQ-154,"What file types are supported?","Supported file formats depend on the upload feature and workspace settings.","technical"
FAQ-155,"What is the maximum upload size?","Maximum upload size depends on your plan and the feature you are using.","technical"
FAQ-156,"Why was my file rejected?","Files may be rejected due to size type corruption or security scanning rules.","technical"
FAQ-157,"How do I export my data?","Use the export option available in the relevant page or settings menu.","technical"
FAQ-158,"How do I import data?","Use the import tool if your plan and permissions support it.","technical"
FAQ-159,"Why is my import failing?","Imports may fail due to invalid format missing required columns or file size issues.","technical"
FAQ-160,"How do I fix a sync issue?","Try reconnecting the integration and checking service status or permission settings.","technical"
FAQ-161,"Why is my integration disconnected?","Tokens may expire or permissions may be revoked which can disconnect an integration.","technical"
FAQ-162,"How do I reconnect an integration?","Open integrations settings and reconnect the affected service.","technical"
FAQ-163,"How do I revoke integration access?","Use the integrations page to disconnect the service and revoke access.","technical"
FAQ-164,"Why is search not working?","Search results may depend on indexing permissions or exact available data.","technical"
FAQ-165,"Why is my report incomplete?","Reports may be filtered by date source permissions or processing status.","technical"
FAQ-166,"Why are charts not loading?","Charts may fail due to browser caching blocked scripts or temporary backend issues.","technical"
FAQ-167,"Can I use the app offline?","Offline support depends on the feature and device platform.","technical"
FAQ-168,"Why am I being asked to update?","Updates may be required for security compatibility or feature support.","technical"
FAQ-169,"How do I check the service status?","Visit the status page for current uptime incidents and maintenance notices.","technical"
FAQ-170,"Why is my API token not working?","Check token scope expiration and whether the endpoint or environment is correct.","technical"
FAQ-171,"How do I regenerate an API token?","Go to developer or security settings and create a new token if your role allows it.","technical"
FAQ-172,"Why is my request rate-limited?","Rate limits protect service stability. Retry later or review your plan limits.","technical"
FAQ-173,"How do I troubleshoot connection timeouts?","Check your network firewall proxy settings and retry after a short wait.","technical"
FAQ-174,"Why does the app log me out during inactivity?","Session timeout behavior may be required by security policy.","technical"
FAQ-175,"Why are images not loading?","Image loading issues may be caused by network restrictions caching or content blocking.","technical"
FAQ-176,"How do I contact technical support?","Use the support form and choose technical issue as the category.","technical"
FAQ-177,"What is this platform used for?","The platform helps users manage accounts workflows and support operations.","general"
FAQ-178,"Who is this service for?","The service is designed for individuals teams and organizations depending on the selected plan.","general"
FAQ-179,"Where are you based?","Company location details are available on the official website or legal pages.","general"
FAQ-180,"Do you have a help center?","Yes. The help center contains setup guides troubleshooting steps and FAQs.","general"
FAQ-181,"Do you have a status page?","Yes. Use the status page to monitor outages maintenance and incidents.","general"
FAQ-182,"Do you offer onboarding support?","Onboarding assistance may be available depending on your plan.","general"
FAQ-183,"Do you offer training sessions?","Training options depend on your plan and customer success package.","general"
FAQ-184,"Do you provide demos?","Yes. Demo availability depends on your use case and sales process.","general"
FAQ-185,"Can I request a feature?","Yes. You can submit feature requests through support or feedback channels.","general"
FAQ-186,"How long does support take to reply?","Response time depends on your plan issue severity and queue volume.","general"
FAQ-187,"Do you support enterprise customers?","Yes. Enterprise support depends on commercial arrangements and plan availability.","general"
FAQ-188,"Do you provide SLAs?","Service level agreements may be available on eligible business plans.","general"
FAQ-189,"Do you have an affiliate program?","Program availability depends on current partnership offerings.","general"
FAQ-190,"Do you have a partner program?","Partnership options may be available through our sales or partnerships team.","general"
FAQ-191,"Can I request accessibility support?","Yes. Contact support if you need accessibility assistance or accommodations.","general"
FAQ-192,"Do you support screen readers?","Accessibility support depends on feature area and current implementation status.","general"
FAQ-193,"Where can I read the privacy policy?","The privacy policy is available on the official website.","general"
FAQ-194,"Where can I read the terms of service?","The terms of service are available on the official website.","general"
FAQ-195,"How do I report abuse?","Contact support and include relevant evidence so the abuse report can be reviewed.","general"
FAQ-196,"How do I report a security issue?","Use the security contact path or support channel and mark the issue as security-related.","general"
FAQ-197,"Do you comply with data regulations?","Compliance support depends on your plan region and legal requirements.","general"
FAQ-198,"Can I request data deletion?","Data deletion requests can usually be submitted through privacy support or account settings.","general"
FAQ-199,"Do you store backups?","Backup and retention practices depend on the product architecture and policy.","general"
FAQ-200,"How long do you retain data?","Data retention depends on your plan status legal requirements and product policy.","general"
FAQ-201,"Can I request a custom contract?","Custom commercial terms may be available for larger organizations.","general"
FAQ-202,"Do you offer implementation help?","Implementation help may be available through onboarding or professional services.","general"
FAQ-203,"Can you migrate data from another platform?","Migration support depends on your plan and the source system.","general"
FAQ-204,"Do you have a community forum?","Community resources may be available through official support or product channels.","general"
FAQ-205,"Can I subscribe to release notes?","Yes. Release notes are typically available on the website or help center.","general"
FAQ-206,"How do I know when maintenance is scheduled?","Scheduled maintenance updates are posted on the status page or sent by email when applicable.","general"
FAQ-207,"Do you offer multilingual support?","Language support depends on the product area and support channel.","general"
FAQ-208,"Can I use the service for my team?","Yes. Team and workspace features are available on supported plans.","general"
FAQ-209,"How do I contact sales?","Use the contact or pricing page to reach the sales team.","general"
FAQ-210,"Where can I see product updates?","Product updates are shared through release notes the help center or official announcements.","general"
